k,S1,S2,r_LILA,r_WCA02,r_WCA03
0.08,0.987,0.93765,4.916548300334114,4.371128710271804,1.981854424878642
0.08499999999999999,0.987,0.93765,5.1768209439994894,4.61253630016776,2.1246904988718405
0.09,0.987,0.93765,5.643569759872878,5.0423578479932,2.4122332078902167
0.01,0.93765,0.8883,-11.070628961599537,-11.313101730347976,-11.936727703808241
0.015,0.93765,0.8883,-6.931208515379042,-7.1346180390584495,-7.837375412045576
0.02,0.93765,0.8883,-5.11063552437751,-5.277353179838448,-5.92116014373136
0.025,0.93765,0.8883,-3.865920566792885,-4.02819263299537,-4.661926814443589
0.03,0.93765,0.8883,-2.9867729926251907,-3.1543935801183074,-3.803209843106233
0.035,0.93765,0.8883,-2.3713309618665237,-2.5460539706416645,-3.233509730571243
0.04,0.93765,0.8883,-1.768904721919801,-1.9543531869833666,-2.7035132726507483
0.045000000000000005,0.93765,0.8883,-1.1785604653960011,-1.3883985352187707,-2.2238052460823807
0.05,0.93765,0.8883,-0.593395638537697,-0.8403780203100112,-1.7874908882746376
0.055,0.93765,0.8883,-0.04852728939556733,-0.3397561973117257,-1.4160155801686927
0.060000000000000005,0.93765,0.8883,0.44442047863631795,0.10828468771371136,-1.1032586779291078
0.065,0.93765,0.8883,0.7216562769889274,0.3540014205557366,-0.9562546346525762
0.06999999999999999,0.93765,0.8883,1.263906603278731,0.8575735677222184,-0.6052676269903793
0.075,0.93765,0.8883,1.7004536657818206,1.266922026021634,-0.3283262507936175
0.08,0.93765,0.8883,2.0011488288980255,1.5489592158022607,-0.1469344997749516
0.08499999999999999,0.93765,0.8883,2.3028839725604917,1.8299377987710137,0.0358677351147245
0.09,0.93765,0.8883,2.7931560126756723,2.2878989024182914,0.3514632504701348
0.01,0.8883,0.8883,-15.12567055687022,-15.368143325618659,-15.991769299078925
0.015,0.8883,0.8883,-9.63467044114732,-9.838094932398251,-10.540906941832354
0.02,0.8883,0.8883,-7.125958533767973,-7.295583298530075,-7.946163532847691
0.025,0.8883,0.8883,-5.572855722949246,-5.740610606664475,-6.387625688233179
0.03,0.8883,0.8883,-4.52906647789914,-4.697547242931738,-5.346232939648855
0.035,0.8883,0.8883,-3.7806669570228815,-3.951799619093735,-4.614223268554837
0.04,0.8883,0.8883,-3.096189194639633,-3.2734016977952227,-3.965700966741872
0.045000000000000005,0.8883,0.8883,-2.485865451248026,-2.67710163296777,-3.4168805735241086
0.05,0.8883,0.8883,-1.9559466372385113,-2.1687051498548975,-2.9718021429073542
0.055,0.8883,0.8883,-1.3678936898530378,-1.6111544428481548,-2.5045515404728
0.060000000000000005,0.8883,0.8883,-0.8975346186888107,-1.173219669265529,-2.1617213576377576
0.065,0.8883,0.8883,-0.5929322351573995,-0.895423604587461,-1.9626824429721808
0.06999999999999999,0.8883,0.8883,-0.04631485863478172,-0.3864264892133938,-1.580431624137519
0.075,0.8883,0.8883,0.3008661176035165,-0.06483955611491404,-1.3541808909345228
0.08,0.8883,0.8883,0.6679930369666912,0.27718810610681455,-1.1139131167844876
0.08499999999999999,0.8883,0.8883,1.0497775595380199,0.6328635507487086,-0.8648732128041371
0.09,0.8883,0.8883,1.4567328697116448,1.01087229473972,-0.600815134669796
0.01,0.83895,0.8883,-19.412551594866365,-19.655024363614807,-20.27865033707507
0.015,0.83895,0.8883,-12.492597959356436,-12.69602346377478,-13.398839172084614
0.02,0.83895,0.8883,-9.24288259311058,-9.412918077465557,-10.064473725725554
0.025,0.83895,0.8883,-7.30588865081453,-7.474959367805161,-8.125479171409463
0.03,0.83895,0.8883,-6.016965604670225,-6.186077794000203,-6.836553983184265
0.035,0.83895,0.8883,-5.0943317155835075,-5.264195891178644,-5.918584748209968
0.04,0.83895,0.8883,-4.306592721743789,-4.47906617060532,-5.145484906819715
0.045000000000000005,0.83895,0.8883,-3.658667242670574,-3.8381221811704713,-4.5273989334058085
0.05,0.83895,0.8883,-3.156411274431414,-3.347092490125384,-4.0685494087188285
0.055,0.83895,0.8883,-2.531019460733831,-2.7408986988922135,-3.518453082732066
0.060000000000000005,0.83895,0.8883,-2.0777469729177054,-2.308818553668441,-3.1469523787813807
