k,S1,S2,S3,ST1,ST2,ST3,lambda,FST1,FST2,FST3,increase,Sinteract
0.01,0.8,0.8,0.7,0.7896,0.7896,0.6909,2.55E-21,0.7896,0.7896,0.6909,0,0.430754152
0.01,0.8,0.8,0.6,0.7896,0.7896,0.5922,1.85E-23,0.7896,0.7896,0.5922,0,0.369217844
0.01,0.7,0.7,0.7,0.6909,0.6909,0.6909,2.82E-23,0.6909,0.6909,0.6909,0,0.329796147
0.01,1,0.7,0.7,0.987,0.6909,0.6909,1.06E-17,0.987,0.6909,0.6909,0,0.471137353
0.01,0.9,0.7,0.7,0.8883,0.6909,0.6909,7.25E-21,0.8883,0.6909,0.6909,0,0.424023618
0.01,0.8,0.7,0.7,0.7896,0.6909,0.6909,1.64E-23,0.7896,0.6909,0.6909,0,0.376909883
0.01,0.6,0.7,0.7,0.5922,0.6909,0.6909,5.95E-23,0.5922,0.6909,0.6909,0,0.282682412
0.01,0.7,1,0.7,0.6909,0.987,0.6909,9.43E-20,0.6909,0.987,0.6909,0,0.471137353
0.01,0.7,0.9,0.7,0.6909,0.8883,0.6909,2.54E-22,0.6909,0.8883,0.6909,0,0.424023618
0.01,0.7,0.8,0.7,0.6909,0.7896,0.6909,1.67E-23,0.6909,0.7896,0.6909,0,0.376909883
0.01,0.7,0.6,0.7,0.6909,0.5922,0.6909,5.81E-23,0.6909,0.5922,0.6909,0,0.282682412
0.01,0.7,0.7,1,0.6909,0.6909,0.987,1.00E-19,0.6909,0.6909,0.987,0,0.471137353
0.01,0.7,0.7,0.9,0.6909,0.6909,0.8883,2.34E-22,0.6909,0.6909,0.8883,0,0.424023618
0.01,0.7,0.7,0.8,0.6909,0.6909,0.7896,1.64E-23,0.6909,0.6909,0.7896,0,0.376909883
0.01,0.7,0.7,0.6,0.6909,0.6909,0.5922,5.95E-23,0.6909,0.6909,0.5922,0,0.282682412
0.01,0.6,0.6,0.6,0.5922,0.5922,0.5922,2.59E-22,0.5922,0.5922,0.5922,0,0.207685037
0.01,1,0.6,0.6,0.987,0.5922,0.5922,2.42E-23,0.987,0.5922,0.5922,0,0.346141729
0.01,0.9,0.6,0.6,0.8883,0.5922,0.5922,3.63E-23,0.8883,0.5922,0.5922,0,0.311527556
0.01,0.8,0.6,0.6,0.7896,0.5922,0.5922,6.42E-23,0.7896,0.5922,0.5922,0,0.276913383
0.01,0.7,0.6,0.6,0.6909,0.5922,0.5922,1.23E-22,0.6909,0.5922,0.5922,0,0.24229921
0.01,0.6,1,0.6,0.5922,0.987,0.5922,2.36E-23,0.5922,0.987,0.5922,0,0.346141729
0.01,0.6,0.9,0.6,0.5922,0.8883,0.5922,3.86E-23,0.5922,0.8883,0.5922,0,0.311527556
0.01,0.6,0.8,0.6,0.5922,0.7896,0.5922,6.71E-23,0.5922,0.7896,0.5922,0,0.276913383
0.01,0.6,0.7,0.6,0.5922,0.6909,0.5922,1.26E-22,0.5922,0.6909,0.5922,0,0.24229921
0.01,0.6,0.6,1,0.5922,0.5922,0.987,2.18E-23,0.5922,0.5922,0.987,0,0.346141729
0.01,0.6,0.6,0.9,0.5922,0.5922,0.8883,3.63E-23,0.5922,0.5922,0.8883,0,0.311527556
0.01,0.6,0.6,0.8,0.5922,0.5922,0.7896,6.42E-23,0.5922,0.5922,0.7896,0,0.276913383
0.01,0.6,0.6,0.7,0.5922,0.5922,0.6909,1.23E-22,0.5922,0.5922,0.6909,0,0.24229921
0.01,1,0.9,0.8,0.987,0.8883,0.7896,8.97E-09,0.987,0.8883,0.7896,0,0.692283458
0.01,1,0.9,0.7,0.987,0.8883,0.6909,6.18E-12,0.987,0.8883,0.6909,0,0.605748026
0.01,1,0.9,0.6,0.987,0.8883,0.5922,1.45E-15,0.987,0.8883,0.5922,0,0.519212594
0.01,1,0.8,0.9,0.987,0.7896,0.8883,1.22E-08,0.987,0.7896,0.8883,0,0.692283458
0.01,1,0.8,0.7,0.987,0.7896,0.6909,1.21E-14,0.987,0.7896,0.6909,0,0.53844269
0.01,1,0.8,0.6,0.987,0.7896,0.5922,2.80E-18,0.987,0.7896,0.5922,0,0.461522305
0.01,1,0.7,0.9,0.987,0.6909,0.8883,1.09E-11,0.987,0.6909,0.8883,0,0.605748026
0.01,1,0.7,0.8,0.987,0.6909,0.7896,1.60E-14,0.987,0.6909,0.7896,0,0.53844269
0.01,1,0.7,0.6,0.987,0.6909,0.5922,2.38E-21,0.987,0.6909,0.5922,0,0.403832017
0.01,1,0.6,0.9,0.987,0.5922,0.8883,3.37E-15,0.987,0.5922,0.8883,0,0.519212594
0.01,1,0.6,0.8,0.987,0.5922,0.7896,4.90E-18,0.987,0.5922,0.7896,0,0.461522305
0.01,1,0.6,0.7,0.987,0.5922,0.6909,3.21E-21,0.987,0.5922,0.6909,0,0.403832017
0.01,0.9,1,0.8,0.8883,0.987,0.7896,2.09E-09,0.8883,0.987,0.7896,0,0.692283458
0.01,0.9,1,0.7,0.8883,0.987,0.6909,1.37E-12,0.8883,0.987,0.6909,0,0.605748026
0.01,0.9,1,0.6,0.8883,0.987,0.5922,2.96E-16,0.8883,0.987,0.5922,0,0.519212594
0.01,0.9,0.8,1,0.8883,0.7896,0.987,3.58E-09,0.8883,0.7896,0.987,0,0.692283458
0.01,0.9,0.8,0.7,0.8883,0.7896,0.6909,8.32E-18,0.8883,0.7896,0.6909,0,0.484598421
0.01,0.9,0.8,0.6,0.8883,0.7896,0.5922,1.91E-21,0.8883,0.7896,0.5922,0,0.415370075
0.01,0.9,0.7,1,0.8883,0.6909,0.987,3.19E-12,0.8883,0.6909,0.987,0,0.605748026
0.01,0.9,0.7,0.8,0.8883,0.6909,0.7896,1.09E-17,0.8883,0.6909,0.7896,0,0.484598421
0.01,0.9,0.7,0.6,0.8883,0.6909,0.5922,1.96E-23,0.8883,0.6909,0.5922,0,0.363448816
0.01,0.9,0.6,1,0.8883,0.5922,0.987,9.80E-16,0.8883,0.5922,0.987,0,0.519212594
0.01,0.9,0.6,0.8,0.8883,0.5922,0.7896,3.34E-21,0.8883,0.5922,0.7896,0,0.415370075
0.01,0.9,0.6,0.7,0.8883,0.5922,0.6909,1.91E-23,0.8883,0.5922,0.6909,0,0.363448816
0.01,0.8,1,0.9,0.7896,0.987,0.8883,6.27E-10,0.7896,0.987,0.8883,0,0.692283458
0.01,0.8,1,0.7,0.7896,0.987,0.6909,5.91E-16,0.7896,0.987,0.6909,0,0.53844269
0.01,0.8,1,0.6,0.7896,0.987,0.5922,1.26E-19,0.7896,0.987,0.5922,0,0.461522305
0.01,0.8,0.9,1,0.7896,0.8883,0.987,7.41E-10,0.7896,0.8883,0.987,0,0.692283458
0.01,0.8,0.9,0.7,0.7896,0.8883,0.6909,1.64E-18,0.7896,0.8883,0.6909,0,0.484598421
0.01,0.8,0.9,0.6,0.7896,0.8883,0.5922,3.50E-22,0.7896,0.8883,0.5922,0,0.415370075
0.01,0.8,0.7,1,0.7896,0.6909,0.987,9.36E-16,0.7896,0.6909,0.987,0,0.53844269
0.01,0.8,0.7,0.9,0.7896,0.6909,0.8883,2.19E-18,0.7896,0.6909,0.8883,0,0.484598421
0.01,0.8,0.7,0.6,0.7896,0.6909,0.5922,3.12E-23,0.7896,0.6909,0.5922,0,0.323065614
0.01,0.8,0.6,1,0.7896,0.5922,0.987,2.84E-19,0.7896,0.5922,0.987,0,0.461522305
0.01,0.8,0.6,0.9,0.7896,0.5922,0.8883,6.65E-22,0.7896,0.5922,0.8883,0,0.415370075
0.01,0.8,0.6,0.7,0.7896,0.5922,0.6909,3.04E-23,0.7896,0.5922,0.6909,0,0.323065614
0.01,0.7,1,0.9,0.6909,0.987,0.8883,1.00E-13,0.6909,0.987,0.8883,0,0.605748026
0.01,0.7,1,0.8,0.6909,0.987,0.7896,1.45E-16,0.6909,0.987,0.7896,0,0.53844269
0.01,0.7,1,0.6,0.6909,0.987,0.5922,2.01E-23,0.6909,0.987,0.5922,0,0.403832017
0.01,0.7,0.9,1,0.6909,0.8883,0.987,1.15E-13,0.6909,0.8883,0.987,0,0.605748026
0.01,0.7,0.9,0.8,0.6909,0.8883,0.7896,3.90E-19,0.6909,0.8883,0.7896,0,0.484598421
0.01,0.7,0.9,0.6,0.6909,0.8883,0.5922,1.83E-23,0.6909,0.8883,0.5922,0,0.363448816
0.01,0.7,0.8,1,0.6909,0.7896,0.987,1.58E-16,0.6909,0.7896,0.987,0,0.53844269
0.01,0.7,0.8,0.9,0.6909,0.7896,0.8883,3.69E-19,0.6909,0.7896,0.8883,0,0.484598421
0.01,0.7,0.8,0.6,0.6909,0.7896,0.5922,3.18E-23,0.6909,0.7896,0.5922,0,0.323065614
0.01,0.7,0.6,1,0.6909,0.5922,0.987,2.79E-23,0.6909,0.5922,0.987,0,0.403832017
0.01,0.7,0.6,0.9,0.6909,0.5922,0.8883,1.72E-23,0.6909,0.5922,0.8883,0,0.363448816
0.01,0.7,0.6,0.8,0.6909,0.5922,0.7896,3.04E-23,0.6909,0.5922,0.7896,0,0.323065614
0.01,0.6,1,0.9,0.5922,0.987,0.8883,4.20E-18,0.5922,0.987,0.8883,0,0.519212594
0.01,0.6,1,0.8,0.5922,0.987,0.7896,6.08E-21,0.5922,0.987,0.7896,0,0.461522305
0.01,0.6,1,0.7,0.5922,0.987,0.6909,1.24E-23,0.5922,0.987,0.6909,0,0.403832017
0.01,0.6,0.9,1,0.5922,0.8883,0.987,4.79E-18,0.5922,0.8883,0.987,0,0.519212594
0.01,0.6,0.9,0.8,0.5922,0.8883,0.7896,1.62E-23,0.5922,0.8883,0.7896,0,0.415370075
0.01,0.6,0.9,0.7,0.5922,0.8883,0.6909,1.83E-23,0.5922,0.8883,0.6909,0,0.363448816
0.01,0.6,0.8,1,0.5922,0.7896,0.987,6.40E-21,0.5922,0.7896,0.987,0,0.461522305
